"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.217083290E-3,3.282653180E-1,-8.258665860E-2,-2.950306030E-1,4.490230861E-1
1.828708331E-2,3.444264373E-1,-1.218431103E-1,-1.711643744E-1,4.034508115E-1
2.835708333E-2,3.811373037E-1,-8.023607790E-2,-3.915997267E-2,3.914549475E-1
3.842708329E-2,2.240492240E-1,2.476979953E-1,6.771422904E-2,3.407896249E-1
4.849808331E-2,3.102468306E-1,7.781942368E-2,-1.634343918E-1,3.591932057E-1
5.856808333E-2,2.903239051E-1,8.591781735E-2,-3.142235585E-1,4.363556874E-1
6.863808329E-2,1.633603880E-1,1.587478119E-1,-4.409245356E-1,4.962881524E-1
7.870808331E-2,9.565664738E-2,1.586864161E-1,-4.233172902E-1,4.620920915E-1
8.877808333E-2,5.552662164E-2,1.494413835E-1,-3.586693045E-1,3.925042710E-1
9.884808329E-2,9.752337098E-2,5.424754322E-2,-3.128938286E-1,3.321989642E-1
1.089180833E-1,1.465107590E-2,-1.906543136E-2,-1.790557766E-1,1.806629897E-1
1.189880833E-1,-8.236358732E-2,-1.710544467E-2,1.433269501E-2,8.533336334E-2
1.290580833E-1,-1.294751886E-1,-2.050910890E-2,1.109497841E-1,1.717390538E-1
1.391290833E-1,-1.385474360E-1,4.370325923E-2,2.351013386E-1,2.763657112E-1
1.491990833E-1,-1.419376516E-1,8.279715836E-2,3.338164087E-1,3.720686242E-1
1.592690833E-1,-6.899217457E-2,7.700256765E-2,1.205216761E-1,1.587916559E-1
1.693390833E-1,1.113953054E-2,9.220474362E-2,1.745639455E-1,1.977330902E-1
1.794090833E-1,-3.267219454E-2,5.076961935E-2,2.908265098E-1,2.970270785E-1
1.894790833E-1,-4.336295128E-2,6.494619370E-2,1.898871589E-1,2.053180136E-1
1.995490833E-1,-8.286381662E-2,8.488344491E-2,1.921243401E-1,2.257949809E-1
2.096190833E-1,-1.068678063E-1,2.541550756E-2,1.406033536E-1,1.784263968E-1
2.196890833E-1,-1.133210859E-1,3.531659782E-2,1.381674035E-1,1.821514809E-1
2.297600833E-1,-9.121978015E-2,8.234633803E-2,3.170512720E-1,3.400345229E-1
2.398300833E-1,-5.391805261E-2,4.773666859E-2,3.162957752E-1,3.243901406E-1
2.499000833E-1,-4.546619475E-2,2.643526196E-2,2.775918853E-1,2.825300917E-1
2.599700833E-1,-7.348926812E-2,2.533540070E-2,3.144679721E-1,3.239331112E-1
2.700400833E-1,-1.261928540E-1,-4.628655910E-3,2.369678064E-1,2.685140632E-1
2.801100833E-1,-1.969953266E-1,1.212946415E-2,1.336451304E-1,2.383596096E-1
2.901800833E-1,-2.291459495E-1,1.685167551E-3,8.862741709E-2,2.456939662E-1
3.002500833E-1,-2.342090535E-1,-5.215891778E-2,1.302186255E-1,2.730042561E-1
3.103200833E-1,-2.501646432E-1,-7.088111758E-2,2.721258350E-1,3.763760774E-1
3.203910833E-1,-2.009913138E-1,-7.219147861E-2,3.608948278E-1,4.193497282E-1
3.304610833E-1,-1.712120292E-1,-1.377627397E-1,4.379494357E-1,4.899916730E-1
3.405310833E-1,-2.221661282E-1,-1.209777224E-1,5.001017567E-1,5.604419371E-1
3.506010833E-1,-2.002937409E-1,-1.075618708E-1,4.891371675E-1,5.393906816E-1
3.606710833E-1,-1.895296016E-1,-1.401951814E-1,3.539916050E-1,4.253072010E-1
3.707410833E-1,-2.210574961E-1,-6.939241648E-2,2.983038195E-1,3.777127120E-1
3.808110833E-1,-1.977306139E-1,-2.541141450E-2,3.118624528E-1,3.701369006E-1
3.908810833E-1,-1.935115555E-1,-5.342659414E-2,2.099723446E-1,2.904987239E-1
4.009510833E-1,-1.612469119E-1,-3.818816543E-3,1.293603273E-1,2.067589036E-1
4.110210833E-1,-1.554046664E-1,-5.148473382E-3,1.622040645E-1,2.246937375E-1
4.210920833E-1,-1.991678596E-1,6.739032984E-2,1.544249654E-2,2.108263824E-1
4.311620833E-1,-1.157362783E-1,9.751869321E-2,-2.005357426E-2,1.526660653E-1
4.412320833E-1,-1.619938937E-1,-3.956810832E-3,-5.051987015E-2,1.697348969E-1
4.513020833E-1,-1.310755715E-1,1.119162923E-1,-2.379793016E-1,2.938370465E-1
